source_path,function,main_dependencies,release_status,release_location
paper2_structural_identifiability_v1/scripts/run_structural_identifiability_package.py,End-to-end structural-identifiability pipeline including standardized data tables/fault network/ensemble assignment/LOSO/DSI summaries,"numpy,pandas,matplotlib,statsmodels",documented_provenance_not_copied_full_project_pipeline,README and reports
structural_observation_pipeline_v1/scripts/v0_build_F2_F7_domain.py,Early F2/F7 domain construction from section-derived structures,"numpy,pandas,matplotlib",logic_refactored_into_package_modules,src/cg_fault_identifiability/fault_surface.py and attribution.py
structural_observation_pipeline_v1/scripts/v0_build_true_attitude_faults_dem.py,Fault attitude and DEM-aware true-attitude construction,"numpy,pandas",documented_provenance_not_copied,docs/source_script_inventory.md
structural_observation_pipeline_v1/scripts/v0_ensemble_3way_perturbation.py,Three-way perturbation ensemble for assignment stability,"numpy,pandas",logic_refactored_into_monte_carlo,src/cg_fault_identifiability/monte_carlo.py
structural_observation_pipeline_v1/scripts/v0_model_ensemble_domain_probability.py,Model-ensemble domain probability summaries,"numpy,pandas",logic_refactored_into_monte_carlo_and_attribution,src/cg_fault_identifiability/monte_carlo.py
structural_observation_pipeline_v1/v0_domain_model/v0_ensemble_regularized.py,Regularized 500-model ensemble outputs for earlier project analyses,"numpy,pandas",documented_provenance_not_copied,docs/source_script_inventory.md
paper2_figures/make_paper2_figures.py,Main Paper 2 figure-generation script,"numpy,pandas,matplotlib",documented_provenance_not_copied_due_project_paths,docs/source_script_inventory.md
paper2_figures/fig4_geometric_distance_final_v2.py,Final Figure 4 single best-fit 3D distance figure,"numpy,pandas,matplotlib",documented_provenance_not_copied_due_real_data_paths,docs/source_script_inventory.md
paper2_figures/3d_model/domain_attribution_figure_materials/render_domain_attribution_pyvista.py,PyVista 3D domain-attribution figure rendering,"numpy,pandas,pyvista",documented_provenance_not_copied_due_visual_dependency,docs/source_script_inventory.md
paper2_figures/3d_model/route_b/route_b_planar_fault_surfaces.py,Planar mapped-attitude route-B fault surfaces,"numpy,pandas,pyvista",logic_refactored_into_fault_surface,data real-case derived includes fault params
paper2_figures/3d_model/route_b_fit/route_b_fit_ols_fault_surfaces.py,OLS fitted fault-plane route-B-fit surfaces,"numpy,pandas,pyvista",logic_refactored_into_fault_surface_and_variance,src/cg_fault_identifiability/fault_surface.py
paper2_cg_innovation_upgrade_v1/run_phase_p2_cg_b1.py,CG B1 synthetic benchmark/reproducibility package generator,"numpy,pandas,matplotlib",documented_provenance_not_copied_generator,docs/source_script_inventory.md
paper2_cg_innovation_upgrade_v1/.../09_reproducibility_package/cg_fault_identifiability/scripts/run_synthetic_demo.py,Open synthetic demo,"numpy,pandas,matplotlib",included,scripts/run_synthetic_demo.py
paper2_cg_innovation_upgrade_v1/.../09_reproducibility_package/cg_fault_identifiability/scripts/run_dsi_benchmark.py,Open DSI synthetic benchmark runner,"numpy,pandas,matplotlib",included,scripts/run_dsi_benchmark.py
paper2_cg_innovation_upgrade_v1/.../09_reproducibility_package/cg_fault_identifiability/scripts/reproduce_all_synthetic.py,Open synthetic reproduction driver,"numpy,pandas,matplotlib",included,scripts/reproduce_all_synthetic.py
analysis_outputs/CANDG_MAJOR_REVISION_UPGRADE_V1/01_DSI2D_vs_DSI3D/run_phase1_phase2.py,Grouped held-out diagnostic validation and real-case distance-metric comparison,"numpy,pandas,scipy,scikit-learn,matplotlib",public_relative_path_wrapper,scripts/major_revision/run_diagnostic_validation.py
analysis_outputs/CANDG_MAJOR_REVISION_UPGRADE_V1/03_OOD_validation/run_phase3_ood.py,Independent 3000-scenario OOD diagnostic evaluation with ID-only calibration,"numpy,pandas,scikit-learn,matplotlib",public_frozen_ood_input_wrapper,scripts/major_revision/run_ood_validation.py
analysis_outputs/CANDG_MAJOR_REVISION_UPGRADE_V1/05_admissible_geometry_ensemble/run_phase5_geometry.py,LOSO alternative-geometry comparison and predictive admissible set,"numpy,pandas,matplotlib",public_translated_coordinate_wrapper,scripts/major_revision/run_loso_geometry_comparison.py
public_release_v0.2.0_wrapper,Ordered major-revision reproduction entry point,"python standard library",included,scripts/major_revision/reproduce_major_revision.py
